Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;FVM
101;P;Por;Maignan;MILAN;16;16;0;180
102;P;Por;Di Gregorio;JUVENTUS;14;13;1;150
103;P;Por;Svilar;ROMA;15;13;2;165
104;P;Por;Carnesecchi;ATALANTA;13;12;1;140
201;D;Dc;Bastoni;INTER;18;17;1;210
202;D;Ds;Dimarco;INTER;22;21;1;260
203;D;Dd;Dumfries;INTER;17;16;1;195
204;D;Dc;Bremer;JUVENTUS;16;16;0;185
205;D;Dc;Buongiorno;NAPOLI;14;13;1;155
206;D;E;Cambiaso;JUVENTUS;15;14;1;170
207;D;Dc;Gatti;JUVENTUS;12;11;1;130
208;D;E;Dodo;FIORENTINA;11;10;1;120
209;D;Dc;Scalvini;ATALANTA;10;10;0;110
210;D;Ds;Angelino;ROMA;13;12;1;145
301;C;C;Barella;INTER;24;23;1;280
302;C;M;Calhanoglu;INTER;26;25;1;300
303;C;T;Pulisic;MILAN;32;30;2;390
304;C;W;Kvaratskhelia;NAPOLI;34;33;1;410
305;C;C;Koopmeiners;JUVENTUS;28;27;1;330
306;C;M;Locatelli;JUVENTUS;13;13;0;145
307;C;T;Dybala;ROMA;29;28;1;340
308;C;W;Chiesa;MILAN;21;20;1;250
309;C;C;McTominay;NAPOLI;25;22;3;295
310;C;M;Ederson;ATALANTA;18;17;1;205
401;A;Pc;Lautaro Martinez;INTER;42;41;1;520
402;A;Pc;Vlahovic;JUVENTUS;36;35;1;440
403;A;A;Lookman;ATALANTA;38;36;2;465
404;A;Pc;Retegui;ATALANTA;35;30;5;430
405;A;A;Leao;MILAN;37;37;0;450
406;A;Pc;Lukaku;NAPOLI;33;32;1;400
407;A;A;Thuram;INTER;34;33;1;415
408;A;Pc;Dovbyk;ROMA;30;29;1;360
